location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,z,z3,z5,internsity_normal
"Adiyaman","Adiyaman",6,38.05,36.5,.64904,.7207447,4.0494,38.05,38.05,.01,4.132604
"Adiyaman","Adiyaman",8,38.3,38.45,12.875,14.29741,6.8755,38.3,38.3,.01,6.991787
"Adiyaman","Adiyaman",8,38.2,37.35,17.872,19.84646,7.2432,38.2,38.2,0,7.363067
"Adiyaman","Adiyaman",6.5,39.4,38.7,1.411,1.566885,4.6933,39.4,39.4,0,4.785122
"Adiyaman","Adiyaman",6.5,37.35,36.75,1.4444,1.603975,4.7137,37.35,37.35,.01,4.805769
"Adiyaman","Adiyaman",6,38.8,37.45,1.7769,1.973209,4.8968,38.8,38.8,.01,4.991127
"Adiyaman","Adiyaman",6.5,38.95,36.95,1.865,2.071042,4.9402,38.95,38.95,0,5.035076
"Adiyaman","Adiyaman",7.5,38.8,38.05,10.69,11.87101,6.6721,38.8,38.8,.01,6.786283
"Adiyaman","Adiyaman",8,39.75,38.4,8.235,9.144787,6.3928,39.75,39.75,0,6.504133
"Adiyaman","Adiyaman",8,39.3,38.55,9.1971,10.21318,6.5102,39.3,39.3,.01,6.622743
"Adiyaman","Adiyaman",6,37.35,36.75,.66264,.7358472,4.0658,37.35,37.35,.01,4.149201
"Adiyaman","Adiyaman",7.5,39,36.9,6.0162,6.680859,6.0664,39,39,0,6.174175
"Adiyaman","Adiyaman",8,36.9,37.75,9.3959,10.43394,6.5331,36.9,36.9,0,6.645847
"Adiyaman","Adiyaman",6.5,37.9,37.85,5.9053,6.557706,6.0473,37.9,37.9,0,6.154947
"Adiyaman","Adiyaman",6,39,38.5,.93038,1.033167,4.3401,39,39,0,4.427263
"Adiyaman","Adiyaman",7,39.95,37.7,2.7309,3.032605,5.291,39.95,39.95,0,5.390087
"Adiyaman","Adiyaman",8,38,38.6,11.01,12.22636,6.7042,38,38,0,6.818631
"Adiyaman","Adiyaman",6,36.9,37.8,.77805,.8640075,4.1941,36.9,36.9,0,4.279242
"Adiyaman","Adiyaman",8,37.1,37.95,10.328,11.46902,6.6348,37.1,37.1,.01,6.748617
"Adiyaman","Adiyaman",7.5,37.85,37.5,12.045,13.37571,6.8022,37.85,37.85,.01,6.917733
"Adiyaman","Adiyaman",6.5,36.8,37.35,1.4599,1.621187,4.7231,36.8,36.8,.01,4.815208
"Adiyaman","Adiyaman",7,39.3,38.05,4.051,4.498547,5.6699,39.3,39.3,.01,5.77332
"Adiyaman","Adiyaman",6.5,38.3,36.55,1.4919,1.656722,4.742,38.3,38.3,.01,4.834419
"Adiyaman","Adiyaman",7.5,39.7,37.65,5.6244,6.245773,5.9977,39.7,39.7,0,6.104753
"Adiyaman","Adiyaman",8,38.25,38.65,10.821,12.01648,6.6853,38.25,38.25,0,6.79963
"Adiyaman","Adiyaman",6,38.45,36.45,.62457,.6935713,4.0192,38.45,38.45,0,4.101965
